Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.591970069,3.108439205,3.962543012,5.769869905,5.614859816,3.822335117,5.300314058,6.287975361,3.375837491,3.259486423,3.704237753,6.592950502,2.190060661,1.036100812,-2.835503355,4.434689398,3.049045783,2.809908877,5.067499267,3.484345516,5.166893462,4.262448483,1.703281208,-1.223407653,4.00567327,0.184032956,-1.995947776,3.958896888,6.831286646,-1.002798856,-3.178166683,3.477546705,6.094208082,-0.871325437,-4.99016808,3.412842252
Africa Eastern and Southern,AFE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.933946526,0.599020608,3.003933508,3.905977691,3.432335657,4.120046535,2.039246074,3.397375366,5.361879835,4.690535379,4.126174228,10.4514484,12.2244749,13.94451499,12.09958555,10.1095397,10.25648396,10.7518006,15.18072993,22.02656515,10.85307727,7.697471776,11.55684173,11.15054455,16.14433126,13.50928419,11.73578352,20.08110092,14.79823436,11.92630484,12.5319619,14.25313767,13.37686413,10.97042674,12.81651843,14.45311141,9.018940746,8.785706852,8.006813297,11.11730588,8.629983989,9.373402846,8.112711758,9.839590589,7.477368671,8.481621589,8.259570197,11.46303997,8.663041832,6.128432432,10.06501297,6.46778486,5.844111401,5.401164084,5.545296428,7.002823323,5.217430866,4.321756526,4.444379464,4.790191839,5.535521294,8.388182985
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.65523821,11.27143207,10.91277355,7.199751289,22.5277562,2.096288749,-2.163404428,3.814630317,16.59334673,7.301756471,4.822785479,0.566944541,2.447563002,-2.197526466,2.403656188,2.071348579,6.521479845,6.962946257,2.838996251,
Africa Western and Central,AFW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,3.336148292,2.432663327,3.013917156,2.906177951,2.752431713,4.143078921,1.280375351,2.031464939,4.838560996,3.710455212,4.189196488,5.145810773,7.198996006,13.42263913,8.586772089,12.05477256,11.0431083,7.667391546,11.17393953,11.97824902,10.62528702,13.82055905,9.927936399,11.31505003,5.297213506,0.020467793,1.684563427,3.4085566,3.584859041,6.66894187,3.073498966,0.738816824,2.378321824,25.06204375,7.680834092,6.907293665,3.667509174,5.387361391,7.612078278,5.28980486,4.3199575,2.240060683,1.718821632,5.681951339,6.688933946,4.64332214,5.571879264,9.116999675,1.48940427,5.004665298,8.789839435,4.730094836,1.554018047,0.562830554,1.911559416,1.736323129,1.759105776,3.479071776,1.452783409,1.567366074,6.454913198,8.046961584
Angola,AGO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-2.100306167,0,0.012763558,0.00118811,19.03520574,-9.01306192,9.82331135,2.213774449,16.27966269,14.00743983,106.3099823,476.5157509,917.7834684,2175.978955,1825.495149,4800.531644,95.45302218,39.35934833,557.5011131,418.0189915,106.3521255,196.9840994,93.92656691,33.44359479,42.37424926,17.11566514,4.308432212,19.36577356,-16.76214029,32.27046912,31.77146016,7.255749909,2.839724126,3.560884772,-3.518385346,21.77431256,22.61443652,28.16709326,19.18700383,10.76310528,38.82372184,16.30538324
Albania,ALB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-2.139571986,-0.0177191,-0.016755172,-0.028360258,0.351222348,-2.417300429,-0.000306093,-0.000578579,0.00367916,-0.431368813,35.51424696,232.9846589,125.6508142,35.84247521,9.970662679,38.1720582,11.23964448,6.730859905,2.102849989,5.647471468,3.810857374,3.647476271,5.198635303,3.152368925,3.306818147,2.478188887,4.386709383,4.117085426,2.418336059,4.4931432,2.314743797,1.042714606,0.288745964,1.54991707,0.56399135,-0.632653419,1.450731581,1.472953487,1.257024829,0.696542442,3.45443199,9.866013431
Andorra,AND,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,7.845870992,8.518077713,11.84943386,15.9452013,16.78179541,16.48985722,23.38309256,20.63104141,16.93168907,13.35481384,12.35117322,13.58234983,11.88423525,10.86473437,8.59546376,10.87881526,5.94419881,5.936124989,6.896207141,7.326243658,6.935148362,6.710768961,4.537232147,3.879858322,4.933121049,0.797177729,2.228160307,1.499553843,2.731979525,28.7415529,3.080535179,3.23953177,3.177484216,3.042423998,3.39610213,3.457184087,3.211227341,2.27433832,0.132136132,0.374313758,0.196764152,0.174556906,0.4484922,-0.084019317,0.660588959,0.347795382,1.136509343,1.01247848,1.374753508,1.113786074,2.559556526,4.213076377
Arab World,ARB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,1.112975942,3.467698425,6.56187255,2.886723566,11.3940363,24.39472609,5.91402211,8.888892612,9.794714912,8.417213279,13.98783792,14.88202012,11.41074801,6.529705855,7.25579877,6.981202748,4.972526402,7.260251666,8.842020422,5.383194828,8.703414506,14.8265593,7.982051338,5.716743759,4.691343372,7.87371706,6.678312576,5.064819578,3.108441991,-1.924400642,6.626778598,10.4423447,0.694216157,3.970747733,5.016239685,11.02378422,15.3553048,9.821605301,8.349756315,16.47924069,-5.74274653,12.14983341,14.28964321,4.670767949,1.506209759,0.525241312,-2.11493647,1.123953176,5.252949281,7.341034985,2.346698699,0.406043178,13.26974278,13.24153717
United Arab Emirates,ARE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,11.77433135,5.255756091,-3.661111495,7.051020544,9.515976035,7.054483982,1.312868729,-3.618017219,-6.097467186,0.74053289,-1.698485297,3.685584803,2.381045732,1.751276609,3.335900494,0.810848725,1.80682612,1.278036305,-0.262474922,3.907479754,5.773043907,-0.952300706,-4.254445321,8.443377455,11.4595358,-2.349307672,3.770839549,4.072406796,8.501422059,16.52630693,11.96214928,12.53396067,18.53335308,-15.18297988,16.52788636,13.16721938,4.679725118,-0.94932532,-0.668049356,-16.26700603,-5.529478605,4.986213141,7.936748035,-3.194409409,-12.03130529,13.84377034,13.24153717
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,20.31069753,28.87184165,25.59115435,28.77461732,21.23293493,25.60346243,29.01826294,10.27531056,7.795830034,6.467874639,31.27106388,64.24478591,65.53528737,30.63044137,197.6973645,438.3227797,159.4271777,161.372172,147.377044,95.79042461,105.2763664,194.5352997,380.1585285,611.1963039,607.4474978,77.29223669,127.5399181,381.2463444,3046.091152,2078.316818,140.5023787,16.07199354,-3.561095576,2.849339715,3.16512339,-0.052375497,-0.463913131,-1.705279624,-1.836558392,1.037287101,-1.095767718,30.55520405,10.49570302,18.36335425,10.3175112,13.74105249,14.93992502,23.17116498,15.37764937,20.91512427,23.70347218,22.31488067,23.94879842,40.28297163,26.5799916,41.11937999,26.00637928,42.03366896,49.19557906,40.0830878,53.8404499,69.47123955
