"date,time,abbreviation_canton,ncumul_conf,current_hosp,new_hosp,current_icu,ncumul_released,ncumul_deceased,nneg_test,num_isolated,total_vaccinations,first_doses,second_doses,third_doses,booster_first,booster_second,doses_delivered,source"
"2020-03-05,,TG,1,0,0,0,0,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-06,,TG,1,0,0,0,0,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-07,,TG,1,0,0,0,0,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-08,,TG,1,0,0,0,0,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-09,,TG,2,0,0,0,0,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-10,,TG,5,0,0,0,0,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-11,,TG,5,0,0,0,0,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-12,,TG,7,0,0,0,0,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-13,,TG,8,0,0,0,0,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-14,,TG,12,0,0,0,0,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-15,,TG,14,1,1,0,0,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-16,,TG,21,1,0,0,0,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-17,,TG,30,4,3,0,0,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-18,,TG,45,5,1,0,0,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-19,,TG,52,7,2,0,0,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-20,,TG,60,8,1,1,0,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-21,,TG,74,9,1,2,0,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-22,,TG,81,10,1,3,0,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-23,,TG,87,9,1,4,2,0,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-24,,TG,96,12,3,4,2,2,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-25,,TG,113,11,1,5,4,2,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-26,,TG,118,14,3,6,4,2,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-27,,TG,131,15,2,6,5,2,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-28,,TG,140,18,3,7,5,2,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-29,,TG,148,21,4,8,6,2,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-30,,TG,158,22,5,8,10,4,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-03-31,,TG,169,23,2,8,11,4,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-01,,TG,185,22,1,10,13,5,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-02,,TG,197,25,4,12,14,6,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-03,,TG,209,26,5,14,18,7,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-04,,TG,215,25,2,14,21,7,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-05,,TG,220,24,0,13,22,8,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-06,10:00,TG,229,28,5,15,23,8,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-07,10:00,TG,250,29,2,15,24,8,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-08,10:00,TG,262,30,1,15,24,8,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-09,10:00,TG,269,28,1,15,27,8,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-10,10:00,TG,285,27,0,17,28,8,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-11,10:00,TG,290,26,1,17,30,8,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-12,10:00,TG,294,24,2,16,34,9,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-13,10:00,TG,297,24,2,16,36,10,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-14,10:00,TG,303,24,2,15,38,10,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-15,12:00,TG,311,24,1,14,39,12,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-16,10:30,TG,322,21,0,14,42,12,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-17,09:30,TG,331,20,1,13,44,14,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-18,10:30,TG,334,20,0,13,44,14,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-19,10:00,TG,336,20,0,13,44,14,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-20,10:00,TG,340,20,0,13,44,15,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-21,10:00,TG,342,18,0,10,46,15,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-22,10:00,TG,353,19,2,10,47,15,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-23,10:00,TG,359,20,1,9,47,15,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-24,10:00,TG,360,18,0,9,49,16,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-25,10:00,TG,361,17,0,9,50,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-26,10:00,TG,361,17,0,9,50,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-27,10:00,TG,362,14,0,8,53,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-28,10:00,TG,364,10,0,8,57,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-29,10:00,TG,365,10,1,7,58,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-04-30,10:00,TG,367,10,0,7,58,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-01,10:00,TG,372,11,1,6,58,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-02,10:00,TG,372,11,0,6,58,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-03,10:00,TG,373,11,0,6,58,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-04,10:00,TG,373,10,0,6,59,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-05,10:00,TG,374,10,0,5,59,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-06,10:00,TG,375,9,0,5,60,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-07,10:00,TG,375,9,0,5,60,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-08,10:00,TG,375,9,1,5,61,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-09,10:00,TG,376,9,0,5,61,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-10,10:00,TG,376,9,0,5,61,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-11,10:00,TG,376,9,0,4,61,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-12,10:00,TG,376,7,0,4,63,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-13,10:00,TG,378,6,0,4,64,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-14,10:00,TG,379,6,0,4,64,17,,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-15,10:00,TG,379,5,0,4,65,17,58,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-16,10:00,TG,379,5,0,4,65,17,41,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-17,10:00,TG,379,5,0,4,65,17,21,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-18,10:00,TG,379,5,0,4,65,18,75,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-19,10:00,TG,379,5,0,4,65,18,79,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-20,10:00,TG,379,5,0,4,65,18,104,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-21,10:00,TG,379,5,0,3,65,18,25,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-22,10:00,TG,379,5,0,3,65,18,70,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-23,10:00,TG,379,4,0,2,66,18,48,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-24,10:00,TG,380,4,0,2,66,18,11,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-25,10:00,TG,380,3,0,1,67,18,87,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-26,10:00,TG,381,3,1,1,68,18,104,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-27,10:00,TG,381,3,0,1,68,18,96,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-28,10:00,TG,382,2,0,1,69,18,72,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-29,10:00,TG,382,1,0,0,70,18,62,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-30,10:00,TG,384,1,0,0,70,18,24,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-05-31,10:00,TG,384,1,0,0,70,18,7,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-06-01,10:00,TG,384,1,0,0,70,18,30,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-06-02,10:00,TG,384,1,0,0,70,18,70,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-06-03,10:00,TG,384,1,0,0,70,18,94,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-06-04,10:00,TG,384,1,0,1,70,18,104,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-06-05,10:00,TG,384,1,0,1,70,18,99,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-06-06,10:00,TG,384,1,0,1,70,18,47,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-06-07,10:00,TG,384,1,0,1,70,18,28,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-06-08,10:00,TG,385,1,0,1,70,18,82,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-06-09,10:00,TG,385,1,0,1,70,18,108,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-06-10,10:00,TG,385,1,0,1,70,18,141,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-06-11,10:00,TG,385,1,0,1,70,18,105,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-06-12,10:00,TG,385,1,0,1,70,18,154,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-06-13,10:00,TG,385,1,0,1,70,18,89,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-06-14,10:00,TG,385,1,0,1,70,18,27,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-06-15,10:00,TG,385,1,0,1,70,18,131,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-06-16,10:00,TG,386,1,0,1,70,18,208,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-06-17,10:00,TG,386,1,0,1,70,18,243,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
"2020-06-18,10:00,TG,386,1,0,1,70,18,185,,,,,,,,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552"
